CAN J ECON	12	0.0072
MATCHING SUPPLY DEMA	12	0.0072
MANUF SERV OPER MANA	12	0.0072
PSYCHOL SCI	12	0.0072
DISCRETE APPL MATH	12	0.0072
J ORGAN CHANGE MANAG	12	0.0072
HDB ORG COMMUNICATIO	12	0.0072
MATH METHOD OPER RES	12	0.0072
FMS Magazine	12	0.0072
PLANNING PRODUCTION	12	0.0072
CULTURE LEADERSHIP O	12	0.0072
SIAM REV	11	0.0066
APPL ECON	11	0.0066
COMPETING TIME TIME	11	0.0066
STEP BY STEP APPROAC	11	0.0066
J ROY STAT SOC B MET	11	0.0066
Information Technology & Management	11	0.0066
BASICS QUALITATIVE R	11	0.0066
ANAL INVENTORY SYSTE	11	0.0066
QUICK RESPONSE MANUF	11	0.0066
J ECON DYN CONTROL	11	0.0066
SMALL BUS ECON	11	0.0066
STOCHASTIC MODELS OP	11	0.0066
I ORG	11	0.0066
COGNITIVE PSYCHOL	11	0.0066
J CONSUM PSYCHOL	11	0.0066
CAN J ADM SCI	11	0.0066
LEAN THINKING BANISH	11	0.0066
QUALITY PRODUCTIVITY	11	0.0066
LISREL 7 GUIDE PROGR	11	0.0066
J PURCH SUPPLY MANAG	11	0.0066
MULTISTAGE INVENTORY	11	0.0066
PRICING REVENUE OPTI	11	0.0066
TELECOMMUN SYST	11	0.0066
COMPUT CHEM ENG	11	0.0066
J INFORM TECHNOL	11	0.0066
THEORY GOAL SETTING	11	0.0066
TECHNOL REV	11	0.0066
PURCHASING SUPPLY CH	11	0.0066
EXP ECON	11	0.0066
J EC SURVEYS	11	0.0066
CREATING VALUE FINAN	11	0.0066
MANAGING SERVICE EC	11	0.0066
J PROD ANAL	11	0.0066
MANAGING QUALITY STR	11	0.0066
SERVICE QUALITY SOLU	11	0.0066
RETAIL SUPPLY CHAIN	11	0.0066
MILBANK Q	11	0.0066
PSYCHOL REP	11	0.0066
RADIOLOGY	11	0.0066
IEEE SOFTWARE	11	0.0066
ADV SERV MARKET MAN	11	0.0066
J BUSINESS IND MARKE	11	0.0066
GUIDE ECONOMETRICS	11	0.0066
ENERGY J	11	0.0066
SCI ARTIFICIAL	11	0.0066
FUNDAMENTALS QUEUEIN	11	0.0066
EMPLOYEE RELATIONS	11	0.0066
PRODUCTION IN PRESS	11	0.0066
UNEASY ALLIANCE MANA	11	0.0066
APPL STOCH MODEL BUS	11	0.0066
CRIT CARE MED	10	0.0060
6 SIGMA FORUM MAGAZI	10	0.0060
PROGR GROCER	10	0.0060
SOURCES INNOVATION	10	0.0060
ORG ACTION SOCIAL SC	10	0.0060
MANUFACTURING CORPOR	10	0.0060
J NUCL MED	10	0.0060
J REGUL ECON	10	0.0060
SERVICE QUALITY NEW	10	0.0060
HIERARCHICAL LINEAR	10	0.0060
MANAGING BUSINESS IN	10	0.0060
J OCCUP ORGAN PSYCH	10	0.0060
QUEUE NOT QUEUE EQUI	10	0.0060
BUSINESS DYNAMICS SY	10	0.0060
FAM MED	10	0.0060
DECISION LINE	10	0.0060
STRATEGIC SUPPLY CHA	10	0.0060
ASIA PAC J MANAG	10	0.0060
SERVICE PRODUCTIVITY	10	0.0060
OR MS TODAY	10	0.0060
DEV PRODUCTS HALF TI	10	0.0060
SERVICE BREAKTHROUGH	10	0.0060
J RISK INSUR	10	0.0060
LECT NOTES EC MATH S	10	0.0060
CELL	10	0.0060
NEW PRODUCT DIFFUSIO	10	0.0060
GREENER MANAGEMENT I	10	0.0060
STUDY TOYOTA PRODUCT	10	0.0060
GOAL	10	0.0060
TOTAL QUALITY CONTRO	10	0.0060
LATENT VARIABLE MODE	10	0.0060
5 DISCIPLINE ART PRA	10	0.0060
MANAGEMENT ACCOUNTIN	10	0.0060
QUALITY CONTROL HDB	10	0.0060
SOCIAL NETWORK ANAL	10	0.0060
COMMUNICATIONS ASS I	10	0.0060
SOCIAL MEASUREMENT C	10	0.0060
APICS DICT	10	0.0060
MULTILEVEL THEORY RE	10	0.0060
SOUTHERN ECON J	10	0.0060
INT SMALL BUS J	10	0.0060
Fam Pract Manag	10	0.0060
SAGE U PAPER SERIES	10	0.0060
Mod Healthc	10	0.0060
J TARGETING MEASUREM	10	0.0060
INFORM SYST J	10	0.0060
FDN TRENDS TECHNOLOG	10	0.0060
J MANAGEMENT INFORM	10	0.0060
PERFORM EVALUATION	10	0.0060
ACCOUNTING AUDITING	10	0.0060
STRUCTURAL HOLES SOC	10	0.0060
SERVICE ENCOUNTER MA	10	0.0060
ENG MANAGEMENT J	10	0.0060
ROLE REVERSE AUCTION	10	0.0060
INT J PRODUCTIVITY P	10	0.0060
BUS HIST REV	10	0.0060
SUPPLY CHAIN COORDIN	10	0.0060
CYTOMETRY	10	0.0060
EC CONTROL QUALITY M	10	0.0060
MEASUREMENT DESIGN A	10	0.0060
BEHAV SCI	10	0.0060
MANUFACTURING STRATEGY : PROCESS AND CONTENT	10	0.0060
ATTAINING MANUFACTUR	10	0.0060
IEEE T RELIAB	10	0.0060
INTRO PROBABILITY TH	9	0.0054
J INTELL MANUF	9	0.0054
MANAGING INT MANUFAC	9	0.0054
Journal of Information Systems	9	0.0054
MANAGING QUALITY	9	0.0054
FACTORY PHYS	9	0.0054
NORTHWEST U LAW REV	9	0.0054
ORG LEARNING THEORY	9	0.0054
MARKETING MANAGEMENT	9	0.0054
CULTURES ORG SOFTWAR	9	0.0054
INTERACTION EFFECTS	9	0.0054
